10:16:13 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:16:14 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:16:46 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:17:19 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:17:47 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:19:08 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:19:43 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:20:57 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
08:56:58 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
08:57:13 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
08:58:31 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
08:58:34 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
08:58:36 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
08:58:38 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
08:58:39 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?j=gl|
08:58:47 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?j=gl|
09:09:12 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?j=gl|
09:09:31 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?j=gl|
09:10:30 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
09:18:18 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
09:37:43 13.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
